,Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund
539,Bank of Ephraim,Ephraim,UT,1249,Far West Bank,25-Jun-04,4665
540,Reliance Bank,White Plains,NY,26778,Union State Bank,19-Mar-04,4664
541,Guaranty National Bank of Tallahassee,Tallahassee,FL,26838,Hancock Bank of Florida,12-Mar-04,4663
542,Dollar Savings Bank,Newark,NJ,31330,No Acquirer,14-Feb-04,6006
543,Pulaski Savings Bank,Philadelphia,PA,27203,Earthstar Bank,14-Nov-03,4662
544,First National Bank of Blanchardville,Blanchardville,WI,11639,The Park Bank,9-May-03,4661
545,Southern Pacific Bank,Torrance,CA,27094,Beal Bank,7-Feb-03,4660
546,Farmers Bank of Cheneyville,Cheneyville,LA,16445,Sabine State Bank & Trust,17-Dec-02,4659
547,Bank of Alamo,Alamo,TN,9961,No Acquirer,8-Nov-02,4658
548,AmTrade International Bank,Atlanta,GA,33784,No Acquirer,30-Sep-02,4657
549,Universal Federal Savings Bank,Chicago,IL,29355,Chicago Community Bank,27-Jun-02,6005
550,Connecticut Bank of Commerce,Stamford,CT,19183,Hudson United Bank,26-Jun-02,4656
551,New Century Bank,Shelby Township,MI,34979,No Acquirer,28-Mar-02,4655
552,Net 1st National Bank,Boca Raton,FL,26652,Bank Leumi USA,1-Mar-02,4654
553,"NextBank, NA",Phoenix,AZ,22314,No Acquirer,7-Feb-02,4653
554,Oakwood Deposit Bank Co.,Oakwood,OH,8966,The State Bank & Trust Company,1-Feb-02,4652
555,Bank of Sierra Blanca,Sierra Blanca,TX,22002,The Security State Bank of Pecos,18-Jan-02,4651
556,"Hamilton Bank, NA",Miami,FL,24382,Israel Discount Bank of New York,11-Jan-02,4650
557,Sinclair National Bank,Gravette,AR,34248,Delta Trust & Bank,7-Sep-01,4649
558,"Superior Bank, FSB",Hinsdale,IL,32646,"Superior Federal, FSB",27-Jul-01,6004
559,Malta National Bank,Malta,OH,6629,North Valley Bank,3-May-01,4648
560,First Alliance Bank & Trust Co.,Manchester,NH,34264,Southern New Hampshire Bank & Trust,2-Feb-01,4647
561,National State Bank of Metropolis,Metropolis,IL,3815,Banterra Bank of Marion,14-Dec-00,4646
562,Bank of Honolulu,Honolulu,HI,21029,Bank of the Orient,13-Oct-00,4645
